RasalhagueA,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3034-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
mechdef_awesome_AWS-9Q,0,,0,3057-01-01T00:00:00Z,7,,10
mechdef_atlas_AS7-D,6,,21,,25,,9
mechdef_longbow_LGB-10C,0,,0,3061-01-01T00:00:00Z,7,,14
mechdef_kingcrab_KGC-000,0,3049-01-01T00:00:00Z,1,,11,,19
mechdef_crockett_CRK-5003-1,0,,0,3055-01-01T00:00:00Z,11,,17
mechdef_crockett_CRK-5004-1,0,,0,,0,3063-01-01T00:00:00Z,17
mechdef_emperor_EMP-6A,0,,0,3055-01-01T00:00:00Z,18,,36
mechdef_cyclops_CP-11-G,0,,0,3058-01-01T00:00:00Z,9,,14
mechdef_crockett_CRK-5003-3,0,,0,,0,3062-01-01T00:00:00Z,17
mechdef_cerberus_MR-V2,0,,0,3055-01-01T00:00:00Z,17,,24
mechdef_battlemaster_BLR-4S,0,,0,,0,3062-01-01T00:00:00Z,8
mechdef_atlas_AS7-CM,0,,0,3055-01-01T00:00:00Z,9,,17
mechdef_kingcrab_KGC-000b,0,,0,,0,3067-01-01T00:00:00Z,3
mechdef_banshee_BNC-5S,0,,0,3055-01-01T00:00:00Z,4,,0
mechdef_viking_VKG-2F,0,,0,3059-01-01T00:00:00Z,28,,48
mechdef_cerberus_MR-V3,0,,0,,0,3062-01-01T00:00:00Z,12
mechdef_berserker_BRZ-A3,0,,0,3056-01-01T00:00:00Z,18,,26
mechdef_viking_VKG-2G,0,,0,3060-01-01T00:00:00Z,5,,24
mechdef_atlas_AS7-K-DC,0,,0,3050-01-01T00:00:00Z,9,,12
mechdef_atlas_AS7-C,0,,0,3055-01-01T00:00:00Z,4,,6
mechdef_atlas_AS7-K,0,,0,3055-01-01T00:00:00Z,13,,17
mechdef_manowar_gargoyle-H,0,,0,3059-01-01T00:00:00Z,1,,1
mechdef_kingcrab_KGC-001,0,,0,3052-01-01T00:00:00Z,4,,9
mechdef_manowar_gargoyle-E,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_kingfisher-A,0,,0,3060-01-01T00:00:00Z,3,,3
mechdef_gunslinger_GUN-1ERD,0,,0,3055-01-01T00:00:00Z,37,,51
mechdef_masakari_warhawk-B,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_kingfisher-D,0,,0,3060-01-01T00:00:00Z,3,,3
mechdef_masakari_warhawk-A,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_kingfisher-PRIME,0,,0,3060-01-01T00:00:00Z,6,,5
mechdef_manowar_gargoyle-C,0,,0,3058-01-01T00:00:00Z,5,,4
mechdef_kingfisher-E,0,,0,,0,3063-01-01T00:00:00Z,1
mechdef_kingfisher-B,0,,0,3060-01-01T00:00:00Z,4,,4
mechdef_masakari_warhawk-D,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_warhammer_IIC-2,0,,0,,0,3067-01-01T00:00:00Z,8
mechdef_manowar_gargoyle-D,0,,0,3058-01-01T00:00:00Z,2,,2
mechdef_kingfisher-H,0,,0,3061-01-01T00:00:00Z,1,,1
mechdef_masakari_warhawk-H,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_daishi_dire_wolf-B,0,,0,3060-01-01T00:00:00Z,3,,3
mechdef_marauderII_MAD-4S,0,,0,,0,3064-01-01T00:00:00Z,36
mechdef_kingfisher-C,0,,0,3060-01-01T00:00:00Z,2,,2
mechdef_daishi_dire_wolf-X,0,,0,3060-01-01T00:00:00Z,1,,2
mechdef_manowar_gargoyle-A,0,,0,3058-01-01T00:00:00Z,7,,6
mechdef_gladiator_executioner-D,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_daishi_dire_wolf-PRIME,0,,0,3060-01-01T00:00:00Z,8,,9
mechdef_gladiator_executioner-C,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_gladiator_executioner-PRIME,0,,0,,0,3067-01-01T00:00:00Z,6
mechdef_masakari_warhawk-F,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_daishi_dire_wolf-A,0,,0,3060-01-01T00:00:00Z,5,,6
mechdef_gladiator_executioner-B,0,,0,,0,3067-01-01T00:00:00Z,4
mechdef_daishi_dire_wolf-W,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_daishi_dire_wolf-S,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_gladiator_executioner-E,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_daishi_dire_wolf-H,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_masakari_warhawk-C,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_masakari_warhawk-I,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_gladiator_executioner-H,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_gladiator_executioner-A,0,,0,,0,3067-01-01T00:00:00Z,3
mechdef_masakari_warhawk-PRIME,0,,0,,0,3067-01-01T00:00:00Z,7
mechdef_gladiator_executioner-TC,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_daishi_dire_wolf-C,0,,0,3060-01-01T00:00:00Z,2,,2
